2024-10-22 16:47:06,0219ET1 Канал:2 Время начала:2024-10-22 16:47:06   
2024-10-22 16:37:39,AK77211 Канал:1 Время начала:2024-10-22 16:37:39   
2024-10-22 16:36:52,6011ET1 Канал:2 Время начала:2024-10-22 16:36:52   
2024-10-22 16:31:44,8933HB1 Канал:1 Время начала:2024-10-22 16:31:44   
2024-10-22 16:30:50,F2180IC Канал:1 Время начала:2024-10-22 16:30:50   
2024-10-22 15:52:37,8933HB1 Канал:2 Время начала:2024-10-22 15:52:37   
2024-10-22 15:47:31,8933HB1 Канал:1 Время начала:2024-10-22 15:47:31   
2024-10-22 15:03:22,4702HB1 Канал:2 Время начала:2024-10-22 15:03:22   
2024-10-22 14:38:43,4702HB1 Канал:1 Время начала:2024-10-22 14:38:43   
2024-10-22 14:28:34,03690 Канал:1 Время начала:2024-10-22 14:28:34   
2024-10-22 14:28:27,AH76791 Канал:2 Время начала:2024-10-22 14:28:27   
2024-10-22 14:19:51,AH76791 Канал:1 Время начала:2024-10-22 14:19:51   
2024-10-22 13:19:04,AE55041 Канал:1 Время начала:2024-10-22 13:19:04   
2024-10-22 13:18:55,FAE55041 Канал:2 Время начала:2024-10-22 13:18:55   
2024-10-22 12:35:58,8933HB1 Канал:2 Время начала:2024-10-22 12:35:58   
2024-10-22 12:14:14,8933HB1 Канал:1 Время начала:2024-10-22 12:14:14   
2024-10-22 12:08:18,0342IM1 Канал:2 Время начала:2024-10-22 12:08:18   
2024-10-22 12:04:28,AE55041 Канал:1 Время начала:2024-10-22 12:04:28   
2024-10-22 12:02:35,0342IM1 Канал:1 Время начала:2024-10-22 12:02:35   
2024-10-22 11:53:08,AM16001 Канал:2 Время начала:2024-10-22 11:53:08   
2024-10-22 11:50:10,8933HB1 Канал:2 Время начала:2024-10-22 11:50:10   
2024-10-22 11:31:41,5093HA1 Канал:2 Время начала:2024-10-22 11:31:41   
2024-10-22 11:29:08,5093HA1 Канал:1 Время начала:2024-10-22 11:29:08   
2024-10-22 11:02:46,AE55041 Канал:2 Время начала:2024-10-22 11:02:46   
2024-10-22 10:55:20,8933HB1 Канал:1 Время начала:2024-10-22 10:55:20   
2024-10-22 10:40:39,8933HB1 Канал:2 Время начала:2024-10-22 10:40:39   
2024-10-22 10:39:13,8933HB1 Канал:1 Время начала:2024-10-22 10:39:13   
2024-10-22 10:37:15,8933HB1 Канал:2 Время начала:2024-10-22 10:37:15   
2024-10-22 10:34:58,1071AI1 Канал:1 Время начала:2024-10-22 10:34:58   
2024-10-22 10:34:03,1071AI1 Канал:2 Время начала:2024-10-22 10:34:03   
2024-10-22 10:22:49,0068IC1 Канал:1 Время начала:2024-10-22 10:22:49   
2024-10-22 10:16:36,6011ET1 Канал:1 Время начала:2024-10-22 10:16:36   
2024-10-22 09:49:26,5093HA1 Канал:2 Время начала:2024-10-22 09:49:26   
2024-10-22 09:48:24,AE55041 Канал:2 Время начала:2024-10-22 09:48:24   
2024-10-22 09:48:16,FAE55041 Канал:1 Время начала:2024-10-22 09:48:16   
2024-10-22 09:46:48,VI952 Канал:1 Время начала:2024-10-22 09:46:48   
2024-10-22 09:42:17,AH92201 Канал:2 Время начала:2024-10-22 09:42:17   
2024-10-22 09:41:50,AH92201 Канал:1 Время начала:2024-10-22 09:41:50   
2024-10-22 09:40:08,5093HA1 Канал:1 Время начала:2024-10-22 09:40:08   
2024-10-22 09:30:30,IA11IHI111 Канал:2 Время начала:2024-10-22 09:30:30   
2024-10-22 09:08:53,X317HC67 Канал:2 Время начала:2024-10-22 09:08:53   
2024-10-22 09:06:47,1071AI1 Канал:1 Время начала:2024-10-22 09:06:47   
2024-10-22 08:57:11,X317HC67 Канал:1 Время начала:2024-10-22 08:57:11   
2024-10-22 08:38:03,4702HB1 Канал:2 Время начала:2024-10-22 08:38:03   
2024-10-22 08:37:21,4702HB1 Канал:1 Время начала:2024-10-22 08:37:21   
2024-10-22 08:03:31,8531HB1 Канал:2 Время начала:2024-10-22 08:03:31   
2024-10-22 07:41:10,107141 Канал:2 Время начала:2024-10-22 07:41:10   
2024-10-22 07:37:43,1071AI1 Канал:1 Время начала:2024-10-22 07:37:43   
2024-10-22 06:03:00,AK77211 Канал:2 Время начала:2024-10-22 06:03:00   
2024-10-22 04:22:57,AH6125I Канал:2 Время начала:2024-10-22 04:22:57   
2024-10-22 03:30:21,WND8027A Канал:2 Время начала:2024-10-22 03:30:21   
2024-10-22 03:28:13,5H Канал:2 Время начала:2024-10-22 03:28:13   
2024-10-22 03:26:03,ND8027A Канал:1 Время начала:2024-10-22 03:26:03   
2024-10-22 00:23:20,0748ET1 Канал:2 Время начала:2024-10-22 00:23:20   
2024-10-22 00:12:24,0748ET1 Канал:1 Время начала:2024-10-22 00:12:24   
2024-10-23 23:24:42,0219ET1 Канал:1 Время начала:2024-10-23 23:24:42   
2024-10-23 23:17:49,0219ET1 Канал:2 Время начала:2024-10-23 23:17:49   
2024-10-23 23:08:47,0219ET1 Канал:1 Время начала:2024-10-23 23:08:47   
2024-10-23 22:59:34,0083BO1 Канал:2 Время начала:2024-10-23 22:59:34   
2024-10-23 22:43:35,0228HB1 Канал:2 Время начала:2024-10-23 22:43:35   
2024-10-23 22:40:37,AP60021 Канал:2 Время начала:2024-10-23 22:40:37   
2024-10-23 22:24:11,0219ET1 Канал:2 Время начала:2024-10-23 22:24:11   
2024-10-23 22:04:31,GDA74009 Канал:1 Время начала:2024-10-23 22:04:31   
2024-10-23 21:59:48,AH87471 Канал:1 Время начала:2024-10-23 21:59:48   
2024-10-23 21:02:00,Q25EF Канал:1 Время начала:2024-10-23 21:02:00   
2024-10-23 21:01:55,0219ET Канал:1 Время начала:2024-10-23 21:01:55   
2024-10-23 20:46:52,AP60021 Канал:1 Время начала:2024-10-23 20:46:52   
2024-10-23 20:24:46,GDA76113 Канал:2 Время начала:2024-10-23 20:24:46   
2024-10-23 18:51:52,0068IC1 Канал:2 Время начала:2024-10-23 18:51:52   
2024-10-23 18:50:38,0748ET1 Канал:2 Время начала:2024-10-23 18:50:38   
2024-10-23 18:46:31,WWL61671 Канал:2 Время начала:2024-10-23 18:46:31   
2024-10-23 18:31:39,0219ET1 Канал:2 Время начала:2024-10-23 18:31:39   
2024-10-23 18:30:44,LB2518A Канал:2 Время начала:2024-10-23 18:30:44   
2024-10-23 18:16:23,0748ET1 Канал:1 Время начала:2024-10-23 18:16:23   
2024-10-23 18:10:56,8933HB1 Канал:1 Время начала:2024-10-23 18:10:56   
2024-10-23 18:02:28,8933HB1 Канал:2 Время начала:2024-10-23 18:02:28   
2024-10-23 17:37:00,0219ET1 Канал:1 Время начала:2024-10-23 17:37:00   
2024-10-23 17:28:36,8933HB1 Канал:1 Время начала:2024-10-23 17:28:36   
2024-10-23 17:19:57,A120BC67 Канал:2 Время начала:2024-10-23 17:19:57   
2024-10-23 17:16:09,8933HB1 Канал:2 Время начала:2024-10-23 17:16:09   
2024-10-23 17:16:00,0219ET1 Канал:2 Время начала:2024-10-23 17:16:00   
2024-10-23 17:10:55,8613IC1 Канал:2 Время начала:2024-10-23 17:10:55   
2024-10-23 17:09:22,8613IC1 Канал:2 Время начала:2024-10-23 17:09:22   
2024-10-23 17:07:44,1071AI1 Канал:2 Время начала:2024-10-23 17:07:44   
2024-10-23 17:05:54,8613IC1 Канал:1 Время начала:2024-10-23 17:05:54   
2024-10-23 17:03:28,1071AI1 Канал:2 Время начала:2024-10-23 17:03:28   
2024-10-23 16:57:42,LB2518A Канал:2 Время начала:2024-10-23 16:57:42   
2024-10-23 16:56:32,8933HB1 Канал:1 Время начала:2024-10-23 16:56:32   
2024-10-23 16:52:25,A120BC67 Канал:1 Время начала:2024-10-23 16:52:25   
2024-10-23 16:51:48,LB2518A Канал:1 Время начала:2024-10-23 16:51:48   
2024-10-23 16:43:04,8933HB1 Канал:2 Время начала:2024-10-23 16:43:04   
2024-10-23 16:42:06,8933HB1 Канал:2 Время начала:2024-10-23 16:42:06   
2024-10-23 16:19:44,8933HB1 Канал:1 Время начала:2024-10-23 16:19:44   
2024-10-23 15:58:34,LLU1116A Канал:2 Время начала:2024-10-23 15:58:34   
2024-10-23 15:51:00,8933HB1 Канал:2 Время начала:2024-10-23 15:51:00   
2024-10-23 15:18:41,E135AB1 Канал:2 Время начала:2024-10-23 15:18:41   
2024-10-23 15:07:01,8933HB1 Канал:1 Время начала:2024-10-23 15:07:01   
2024-10-23 14:41:26,8933HB1 Канал:2 Время начала:2024-10-23 14:41:26   
2024-10-23 14:37:05,1071AI1 Канал:1 Время начала:2024-10-23 14:37:05   
2024-10-23 14:35:47,6011ET1 Канал:2 Время начала:2024-10-23 14:35:47   
2024-10-23 14:32:01,0068IC1 Канал:1 Время начала:2024-10-23 14:32:01   
2024-10-23 14:25:03,FE135AB1 Канал:1 Время начала:2024-10-23 14:25:03   
2024-10-23 14:14:54,FE135AB Канал:1 Время начала:2024-10-23 14:14:54   
2024-10-23 14:14:02,FE135AB1 Канал:1 Время начала:2024-10-23 14:14:02   
2024-10-23 14:13:03,WWL61671 Канал:1 Время начала:2024-10-23 14:13:03   
2024-10-23 14:09:33,1071AI1 Канал:2 Время начала:2024-10-23 14:09:33   
2024-10-23 13:51:26,3720ET1 Канал:1 Время начала:2024-10-23 13:51:26   
2024-10-23 13:49:51,3720ET1 Канал:1 Время начала:2024-10-23 13:49:51   
2024-10-23 13:24:42,4702HB1 Канал:2 Время начала:2024-10-23 13:24:42   
2024-10-23 13:22:39,4702HB1 Канал:1 Время начала:2024-10-23 13:22:39   
2024-10-23 12:58:12,7583KX1 Канал:2 Время начала:2024-10-23 12:58:12   
2024-10-23 12:52:17,0068IC1 Канал:2 Время начала:2024-10-23 12:52:17   
2024-10-23 12:27:48,4702HB1 Канал:2 Время начала:2024-10-23 12:27:48   
2024-10-23 12:23:49,0219ET1 Канал:1 Время начала:2024-10-23 12:23:49   
2024-10-23 12:16:11,4702HB1 Канал:1 Время начала:2024-10-23 12:16:11   
2024-10-23 12:16:05,8933HB1 Канал:1 Время начала:2024-10-23 12:16:05   
2024-10-23 11:22:25,0138MX1 Канал:1 Время начала:2024-10-23 11:22:25   
2024-10-23 11:21:52,0138MX1 Канал:2 Время начала:2024-10-23 11:21:52   
2024-10-23 11:16:53,2727IM1 Канал:2 Время начала:2024-10-23 11:16:53   
2024-10-23 11:13:41,2727IM1 Канал:1 Время начала:2024-10-23 11:13:41   
2024-10-23 11:09:44,7583KX1 Канал:1 Время начала:2024-10-23 11:09:44   
2024-10-23 10:55:19,8933HB1 Канал:1 Время начала:2024-10-23 10:55:19   
2024-10-23 10:55:12,8933HB1 Канал:2 Время начала:2024-10-23 10:55:12   
2024-10-23 10:44:09,GKII7 Канал:1 Время начала:2024-10-23 10:44:09   
2024-10-23 10:43:31,LLU50568 Канал:2 Время начала:2024-10-23 10:43:31   
2024-10-23 10:24:52,8933HB1 Канал:1 Время начала:2024-10-23 10:24:52   
2024-10-23 10:04:48,8933HB1 Канал:2 Время начала:2024-10-23 10:04:48   
2024-10-23 10:03:49,0050MB1 Канал:2 Время начала:2024-10-23 10:03:49   
2024-10-23 10:02:44,0068IC Канал:1 Время начала:2024-10-23 10:02:44   
2024-10-23 09:54:31,76011ET1 Канал:1 Время начала:2024-10-23 09:54:31   
2024-10-23 09:42:01,LLU51566 Канал:1 Время начала:2024-10-23 09:42:01   
2024-10-23 09:30:34,WOS89522 Канал:2 Время начала:2024-10-23 09:30:34   
2024-10-23 09:16:26,0050MB1 Канал:2 Время начала:2024-10-23 09:16:26   
2024-10-23 09:13:24,0050MB1 Канал:1 Время начала:2024-10-23 09:13:24   
2024-10-23 09:09:31,3670BT1 Канал:1 Время начала:2024-10-23 09:09:31   
2024-10-23 08:53:27,1071AI1 Канал:1 Время начала:2024-10-23 08:53:27   
2024-10-23 07:38:23,0138MX1 Канал:1 Время начала:2024-10-23 07:38:23   
